index,dadjoke
001,A backwards poet writes inverse.
002,A bartender broke up with her boyfriend, but he kept asking her for another shot.
003,A Buddhist walks up to a hot dog stand and says "Make me one with everything."
004,A cabbage and celery walk into a bar and the cabbage gets served first because he was a head.
005,A cross eyed teacher couldn’t control his pupils.
006,A doctor broke his leg while auditioning for a play.Luckily he still made the cast.
007,A hen will always leave her house through the proper eggs-it.
008,A magic tractor drove down the road and turned into a field!
009,A man sued an airline company after it lost his luggage. Sadly, he lost his case.
010,A persistent banker wouldn’t stop hitting on me so I asked him to leave me a loan.
011,My friend got a PhD in Palindromes. Now I call him "Dr Awkward"
012,After eating the ship, the sea monster said, "I can’t believe I ate the hull thing."
013,After the accident, the juggler didn’t have the balls to do it.
014,What kind of airplane goes down the run way and comes back? A Model airplane.
015,All the hens consider the chef to be very mean because he beats the eggs.
016,An untalented gymast walks into a bar.
017,At my boxing club there is only one punch bag. I hate waiting for the punch line!
018,Atheism is a non-prophet organisation.
019,Before my father died he worked in a circus as a stilt walker. I used to look up to him.
020,Can February March? No, but April May.
021,Cartoonist found dead in home. Details are sketchy.
022,Crossing a cement mixer and a chicken will result in you getting a brick layer.
023,Did you hear about the cheese factory that exploded in france? There was nothing but des brie.
024,Did you hear about the circus that caught on fire? It was in tents.
025,Did you hear about the crime in the parking garage? It was wrong on so many levels.
026,Did you hear about the guy who lost the left side of his body? He's alright now.
027,Did you hear about the human cannonball? Too bad he got fired!
028,Did you hear about the invention of the white board? It was remarkable.
029,Did you hear about the pun that was actually funny? Neither have we.
030,Do you know sign language? You should learn it, it’s pretty handy.
031,Don't ever have multiple people wash dishes together. It's hard for them to stay in sink.
032,Don’t judge a meal by the look of the first course. It’s very souperficial.
033,Don’t trust people that do acupuncture, they’re back stabbers.
034,Einstein developed a theory about space, and it was about time too.
035,Eskimos keep all of their chilled eggs inside of the egg-loo.
036,Garbage collectors are rubbish drivers.
037,Getting the ability to fly would be so uplifting.
038,Going to bed with music on gave him sound sleep.
039,Have you ever heard of a music group called Cellophane? They mostly wrap.
040,Have you ever tried to eat a clock? It's very time consuming.
041,Have you ever tried to milk a cow which has been cut in half? Udder madness.
042,He couldn’t work out how to fix the washing machine so he threw in the towel.
043,Hopefully this egg pun doesn't make your brain too fried or scrambled.
044,How did Darth Vader know what luke was getting him for his birthday? He could sense his presence.
045,How do mountains see? They peak.
046,How do trees access the internet? They log on.
047,How do you organize an outer space party? You planet.
048,How do you throw a space party? You planet.
049,How does a penguin build it’s house? Igloos it together.
050,How does Moses make coffee? Hebrews it.
051,How many tickles does it take to make an octopus laugh? Ten tickles.
052,How much does a hipster weigh? An instagram.
053,How was Rome split in two? With a pair of Ceasars.
054,I asked my friend, Nick, if he had 5 cents I could borrow. But he was Nicholas.
055,I bet the person who created the door knocker won a Nobel prize.
056,I bought a wooden whistle but it wooden whistle.
057,I changed my iPod name to Titanic. It’s syncing now.
058,I couldn’t remember how to throw a boomerang but it came back to me.
059,I cut my finger chopping cheese, but I think that I may have greater problems.
060,I did a theatrical performance on puns. It was a play on words.
061,I dissected an iris today. It was an eye-opening experience.
062,I feel sorry for shopping carts. They’re always getting pushed around.
063,I flipped a coin over an issue the other day, it was quite the toss-up.
064,I got a master’s degree in being ignored; no one seems to care.
065,I got hit in the head with a can of soda? Luckily it was a soft drink.
066,I had a pun about insanity but then I lost it.
067,I had a real problem making a hard-boiled egg this morning until I cracked it.
068,I hate negative numbers and will stop at nothing to avoid them.
069,I hate Russian Dolls, they are so full of themselves.
070,I heard Donald Trump is going to ban shredded cheese, and make America grate again.
071,I heard that the post office was a male dominated industry.
072,I just found out I'm colorblind. The diagnosis came completely out of the purple.
073,I met some aliens from outer space. They were pretty down to earth.
074,I never understood odorless chemicals, they never make scents.
075,I ordered a book of puns last week, but i didn't get it.
076,I owe a lot to the sidewalks. They’ve been keeping me off the streets for years.
077,I read a book on anti-gravity. I couldn’t put it down.
078,I really look up to my tall friends.
079,I relish the fact that you’ve mustard the strength to ketchup to me.
080,I saw an ad for burial plots, and thought to myself this is the last thing I need.
081,I smeared some ketchup all over my eyes once. It was a bad idea in Heinz- sight.
082,I thought I saw a spider on my laptop, but my friend said it was just a bug.
083,I told my friend she drew her eyebrows too high. She seemed surprised.
084,I used to be afraid of hurdles, but I got over it.
085,I used to go fishing with Skrillex but he kept dropping the bass.
086,I used to make clown shoes… which was no small feat.
087,I used to work at a hairdresser but i just wasn’t cut out for it.
088,I used to work in a shoe recycling shop. It was sole destroying.
089,I was accused of being a plagiarist, their word not mine.
090,I was addicted to the hokey pokey but I turned myself around.
091,I went to a seafood disco last week... and pulled a mussel.
092,I wondered why the baseball was getting bigger. Then it hit me.
093,I would avoid the sushi if I was you. It’s a little fishy.
094,I, for one, like Roman numerals.
095,I'd tell you a chemistry joke but I know I wouldn't get a reaction.
096,If artists wear sketchers do linguists wear converse?
097,If Donald Trump becomes president, America is going toupee.
098,If I buy a bigger bed will I have more or less bedroom?
099,If I got paid in lots of Pennes I would make loads of pasta.
100,If people ask how many puns I made in Germany I reply, "nein"
101,If you wear cowboy clothes are you ranch dressing?
102,Imagine if alarm clocks hit you back in the morning.It would be truly alarming.
103,Is your refrigerator running? Better go catch it.
104,It takes guts to make a sausage.
105,Jill broke her finger today, but on the other hand she was completely fine.
106,Let me FILL you in on my trip to the dentist.
107,Lettuce take a moment to appreciate this salad pun.
108,Long fairy tales have a tendency to dragon.
109,Models of dragons are not to scale.
110,My cat was just sick on the carpet, I don’t think it’s feline well.
111,My friends say they don’t like skeleton puns. I should put more backbone into them.
112,My new diet consists of aircraft, its a bit plane.
113,My phone has to wear glasses ever since it lost its contacts.
114,Never discuss infinity with a mathematician, they can go on about it forever.
115,Nope. Unintended.
116,Novice pirates make terrible singers because they can’t hit the high seas.
117,Old skiers never die. They just go down hill.
118,On Halloween October is nearly Octover.
119,One hat says to the other, "You stay here, I’ll go on a head."
120,Our maintenance guy lost his legs on the job, now he’s just a handyman.
121,People say i look better without glasses but i just can't see it.
122,People using umbrellas always seem to be under the weather.
123,Pig puns are so boaring.
124,Police were called to a daycare yesterday, where a 2-year-old was resisting a rest.
125,Read enough of our funny puns, and you'll be punstoppable.
126,Sausage puns are the wurst.
127,Simba, you're falling behind. I must ask you to Mufasa.
128,Sleeping comes so naturally to me, I could do it with my eyes closed.
129,Smaller babies may be delivered by stork but the heavier ones need a crane.
130,So what if I don’t know what apocalypse means? It’s not the end of the world!
131,Some aquatic mammals at the zoo escaped. It was otter chaos.
132,The best time of day to eat eggs is at the crack of dawn.
133,The bomb didn't want to go off. So it refused.
134,The broom swept the nation away.
135,The candle quit his job because he felt burned out.
136,The chicken coop only had 2 doors since if it had 4 doors it would be a sedan.
137,The display of still-life art was not at all moving!
138,The earth's rotation really makes my day.
139,The energizer bunny went to jail. He was charged with battery.
140,The future,the present and the past walked into a bar.Things got a little tense.
141,The lumberjack loved his new computer. He especially enjoyed logging in.
142,The magazine about ceiling fans went out of business due to low circulation.
143,The old woman who lived in a shoe wasn’t the sole owner,there were strings attached.
144,The plane flight brought my acrophobia to new heights.
145,The safe was invented by a cop and a robber. It was quite a combination.
146,The scarecrow get promoted because he was outstanding in his field.
147,The shovel was a ground breaking invention.
148,The show was called Spongebob Squarepants but everyone knows the star was Patrick.
149,The soldier who survived mustard gas and pepper spray was a seasoned veteran.
150,The sore mummy needed a Cairo-practor
151,The tale of the haunted refrigerator was chilling.
152,The wedding was so emotional even the cake was in tiers.
153,There’s a fine line between the numerator and the denominator.
154,There’s a new type of broom out, it’s sweeping the nation.
155,These reversing cameras are great. Since I got one I haven’t looked back.
156,This is not alcohol, water you thinking?!
157,Time flies like an arrow. Fruit flies like a banana.
158,To write with a broken pencil is pointless.
159,Towels can’t tell jokes. They have a dry sense of humor.
160,Traveling on a flying carpet is a rugged experience.
161,Two birds are sitting on a perch and one says "Do you smell fish?"
162,Two peanuts were walking in a tough neighborhood and one of them was a-salted.
163,Two ropes were walking in a tough neighborhood and one of them was a-frayed.
164,Under the doctor’s advice, the hen is laying off eggs for a few weeks.
165,Want to hear a joke about paper? Nevermind it’s tearable.
166,Want to hear a pizza joke? Nevermind, it’s too cheesy.
167,Want to hear a pun about ghosts? That's the spirit!
168,What cheese can never be yours? Nacho cheese.
169,What did daddy spider say to baby spider? You spend too much time on the web.
170,What did the alien say to the pitcher of water? Take me to your liter.
171,What did the Buffalo say to his little boy when he dropped him off at school? Bison.
172,What did the buffalo say to his son? Bison.
173,What do cows tell each other at bedtime? Dairy tales.
174,What do prisoners use to call each other? Cell phones.
175,What do you call a bear with no teeth? A gummy bear.
176,What do you call a cow with all of its legs? High steaks.
177,What do you call a cow with no legs? Ground beef.
178,What do you call a cow with two legs? Lean beef.
179,What do you call a fake noodle? An Impasta.
180,What do you call a french pig? Porque.
181,What do you call a girl with one leg that's shorter than the other? Ilene.
182,What do you call a line of rabbits marching backwards? A receding hairline.
183,What do you call a spanish pig? Porque.
184,What do you call a young musician? A minor.
185,What do you call crystal clear urine? 1080pee.
186,What do you call Samsung's security guards? Guardians of the Galaxy.
187,What do you do to an open wardrobe? You closet.
188,What do you do when balloons are hurt? You helium.
189,What do you do with a dead chemist? You barium.
190,What do you mean June is over? Julying.
191,What do you receive when you ask a lemon for help? Lemonaid.
192,What does a clock do when it's hungry? It goes back for seconds.
193,What does a dog say when he sits down on a piece of sandpaper? Ruff!
194,What does a house wear? A dress.
195,What does Superman have in his drink? Just ice.
196,What happened when the magician got mad? She pulled her hare out!
197,What happens to nitrogen when the sun comes up? It becomes daytrogen.
198,What happens when you eat too many spaghettiOs? You have a vowel movement.
199,What kind of car does a sheep drive? A lamborghini, but if that breaks down they drive their SuBAHHru.
200,What kind of shoes do ninjas wear? Sneakers.
201,What planet is like a circus? Saturn, it has three rings!
202,What should you do if you are cold? Stand in the corner. It’s 90 degrees.
203,What was Forrest Gump’s email password? 1forrest1.
204,What’s america’s favorite soda? Mini soda.
205,What’s it called when you have too many aliens? Extraterrestrials.
206,What’s it called when you put a cow in an elevator? Raising the steaks.
207,When a clock is hungry, it goes back four seconds.
208,When does a farmer dance? When he drops the beet.
209,When the church relocated it had an organ transplant.
210,When the scientist wanted to clone a deer, he bought a doe it yourself kit.
211,Where do you imprison a skeleton? In a rib cage.
212,Why are frogs so happy? They eat whatever bugs them.
213,Why are there fences on graveyards? Because people are dying to get in.
214,Why can't bicycles stand up on their own? Since they are 2 tired.
215,Why can’t you take inventory in Afghanistan? Because of the tally ban.
216,Why couldn’t the dead car drive into the cluttered garage? Lack of vroom.
217,Why did one banana spy on the other? Because she was appealing.
218,Why did the cookie cry? Because his father was a wafer so long!
219,Why did the lion eat the tightrope walker? He wanted a well-balanced meal!
220,Why did the man dig a hole in his neighbor’s backyard and fill it with water? Because he meant well.
221,Why did the octopus beat the shark in a fight? Because it was well armed.
222,Why did the tomato turn red? Because it saw the salad dressing.
223,Why didn’t the lion win the race? Because he was racing a cheetah.
224,Why do trees have so many friends? They branch out.
225,Why does Superman gets invited to dinners? Because he is a Supperhero.
226,Why does the man want to buy nine rackets? Cause tennis too many.
227,Why does the singer of Cheap Thrills not want us to Sia?
228,Why don’t cannibals eat clowns? Because they taste funny.
229,Why don’t some couples go to the gym? Because some relationships don’t work out.
230,Why don’t vampires go to barbecues? They don’t like steak.
231,Why is a skeleton a bad liar? You can see right through it.
232,Why is Kylo Ren so angry? Beause he’s always Ben Solo.
233,Why is metal and a microwave a match made in heaven? When they met, sparks flew.
234,Why isn’t suntanning an Olympic sport? Because the best you can ever get is bronze.
235,Why should you never trust a train? They have loco motives.
236,Why shouldn’t you trust atoms? They make up everything.
237,Why was dumbo sad? He felt irrelephant.
238,Yesterday a clown held the door for me. It was a nice jester.
239,You know why I like egg puns? They crack me up!
240,I dont know who wrote the soundtrack for Free Willy, but it was well orca-strated.
241,Long fairy tales have a tendency to dragon.
242,Backwards poems are written inverse
243,I once tried to make a watchband out of a belt. It was a waist of time.
244, A blind man fell down a well. He couldnt see that well.
245,I didnt want to be a scarecrow, but hay, it's in my jeans. 
246,My coworkers voted me the "the most secretive guy in the office".I cant tell you how much this award means to me.
247,If you see a robbery at an Apple store, does that make you an iWitness?
248,A cartoonist was murdered just outside his home. Police say details are sketchy.
249,What do you call a place that only makes acceptable products?A satis-factory.
250,I wanted to use "Summer2019" as a password, but my computer said it wasnt long enough.
251,I wanted to use "Fortnight" as a password, but my computer said it was two weeks.
252,I wanted to use "BeefStew" as a password, but my computer says it isn't stroganoff.
253,The sporting goods store is having a huge sale on canoe paddles. You might say it's a real oar-deal.
254,The recipe book explained that I could substitute butter with ghee. I'm glad they clarified that.
255,I wrote a book on alligators. I think a computer might have been easier.
256,The doctor said he was going to deliver our baby, but I think she might need it.
257,What do you name a baby boy delivered on the way to the hospital? Carson.
258,My friend said he didn't understand cloning. I said, "that makes two of us".
259If I had a Delorean, I'd drive it from time to time.
260,To the person that stole my bottle of Nyquil:I hope you can sleep at night.
261,Last night a storm blew away 25% of my roof. Oof.
262,A band of thieves is stealing clothing of all different sizes. According to police, they're still at large.
263,Me: Did you steal my thesaurus? Horse: Hold up one second... Nope.
264,Spongebob might be the main character, but Patrick is the star.
265,I wrote a song about Locksmiths. Watch for the key change at the end.
266,Orion's belt is a huge waist of space.
267,The only thing flat-earthers have to fear is sphere itself.
268,A man was arrested for stealing encyclopedias, but he told the police he could explain everything.
269,I drew a nice picture on my dry-erase board. It was remarkable.
270,My dad said I shouldn't listen to loud music for extended periods of time.It was sound advice.
271,If you suck at playing the trumpet, that's probably why.
272,Last night I dreamt that I wrote Lord of the Rings.I must have been Tolkien in my sleep.
273,What kind of clothes does a house wear? Address. 
274,If I had a Delorean, I'd drive it from time to time.
275,Where can you buy chicken and beef broth in bulk? The stock market.
276,6:30 is the best time of day, hands down.
277,Shout out to old people! Otherwise they can't hear you.
278,I tweeted 10 puns to see if any of them would go viral, but no pun in ten did.
279,I accidentally swallowed some food coloring and dyed a little inside.
280,If a cow cant give milk, is it a "milk dud" or an "udder failure".
281,You'll  know when a regular joke becomes dad joke. It will be apparent.
282,A dad joke isn't a dad joke until it's full groan.
283,An unemployed court jester is nobody’s fool.
284,Why can’t you get a 3-egg omelette in a French café? Because one egg is an oeuf.
285,I put my kid on a merry-go-round. He didnt like it at first, but then he came around.
286,I dont like negative numbers and I will stop at nothing to avoid them.
287,I volunteered to teach a math class to kindergartners.It's the little things that count.
288,Bert asked Ernie if he wanted some ice cream.Ernie said, "Sure Bert."
289,An Alligator wearing a vest is an Investigator, but a crocodile wearing a vest is a snappy dresser.
290,If you rearrange all the letters in Post Office, they get really mad at you.
291,A plateau is the highest form of flattery. 
292,I got a universal remote for Fathers Day. This changes everything.
293,How do you cut Rome in half? With a pair of Ceasars.
294,How do you cut the ocean in half? A sea saw.
295,Sometimes I tell dad jokes. Sometimes he laughs.
296,Did you see my recent spinal problem tweet? It was about a weak back.
297,Wild horses are unstable.
298,When do cows go to sleep? Pasture bedtime.
299,I'm reading a book about being immune to insults. I haven't been able to put it down.
300,How do you get a farm girl to like you? A tractor.
301,Did you know the inventor of the throat lozenge was cremated? There was no coffin at his funeral.
302,What does Batman like in his drink? Just ice.
303,I paid $100 for a giant velcro patch. It was a huge rip-off.
304,The soldier who survived mustard gas and pepper spray was a seasoned veteran.
305,Old McDonald had a doll. E I G.I. Joe
306,A man with authority walks into a bar and orders everybody a round.
307,Whomever named decaffeinated coffee missed the chance to call it Depresso.
308,Not all math jokes are hard. Just sum.
309,Did you hear the joke about the giraffe's neck? It's a long one.
310,I had a good time swimming with dolphins the other day. We just clicked.
311,All the comic books I bought from the store are missing the last page. I have to draw my own conclusions.
312,Two thieves were arrested for stealing one calendar. They each got six months.
313,I tried explaining to my doctor that I had Twitter addiction. He said "I'm sorry, I don't follow."
314,The NFL will assess fines for players that keep pet ducks. Yes. A penalty for personal fowl.
315,I told my tailor to stop measuring me. He said "Fine. Suit yourself."
316,Me: I'm scared of the vertical axis. Therapist: Why? Me: AAAAAAAAAH!
317,Jokes about communism are only funny if everyone gets them.
318,I spent the last of my money on a limousine. Now I have nothing else left to chauffeur it.
319,What do you do with a seasick sailor? Take him to the dock.
320,I tried to be a speaker at an Stereo convention, but they turned me down.
321,I wanted to be a Gregorian Monk, but I never got the chants.
322,Whomever stole my copy of Microsoft Office, I will find you. You have my Word.
323,How do you make a waterbed bouncier? Fill it with spring water.
324,Where does a General keep his armies? In his sleevies.
325,If anyone here needs an Ark, I Noah guy.
326,I went into a bookstore to find a book about turtles. The clerk asked, "Hardback"? "Yes." I said.
327,I spilled glue on my autobiography. That's my story, and I'm sticking to it.
328,Did you hear about the guy who invented Lifesavers? He made a mint.
329,I took a blind man on his first trip to a gun range. He didn't know what he was missing.
330,Why was the cookie sad? Cuz his mom was a wafer too long
331,I lost all my coloring books and I could really use a shoulder to crayon.
332,There was a robbery at the Apple store. The police are rounding up iWitnesses.
333,Doc: You've mentally blocked all music from the 80's Me: Whats the cure? Doc: My God, it's worse than we thought.
334,I knew a guy who sued the airlines for losing his luggage. Sadly, he lost his case.
335,Why do cows have hooves? Because they lack toes.
336,My buddy badly injured his foot at the brewery where he works. Now he's in charge of hops.
337,My friend got fired from the keyboard factory.  He wasn't putting in enough shifts.
338,The circus lost their human cannonball. The ringmaster said it will hard to find another man of that caliber.
339,I tried to make a reservation at the library but it was completly booked. 
340,Someone asked if I was a yoga teacher.I said Ha! That's a stretch.
341,What do you call a priest that becomes a lawyer? A father in law.
342,I ordered 2000 lbs. of Chinese soup. It was Won Ton.
343,They told me I couldn't smuggle candy into the theater. But I have a few Twix up my sleeve.
344,Old Macdonald had a job: CIEIO
345,Did you hear about the student who got 25 A's in a row? I guess you could say he was honor roll.
346,Q:What do you call it when Batman skips church? A:Christian Bale.
347,Welcome to registration for yodeling class.Please form an orderly, orderly, orderly queue.
348,The boomerang is Australia's chief export. Also, import.
349,What kind of plane reaches the end of the runway then turns around to come back? A model airplane.
350,I burnt my Hawaiian pizza last night, I should have put it on aloha temperature.
351,My buddy started dating a girl who works at the zoo. He says she's a keeper.
352,How do you get a farm girl to like you? A tractor.
353,Storks only deliver small babies. The larger ones need a crane.
354,The boating store had a huge sale on canoes. It was quite the oar deal.
355,Me: Siri, please quote a movie. Siri: Don't call me Shirley. Me: Oh, I left my phone in Airplane mode.
356,Some mean person stole my limbo bar. I mean, how low can you go?
357,Spiders at the pet store are really expensive. You can get them cheaper off the web.
358,A tractor-trailer carrying a load of Vicks VapoRub turned over on the interstate. Traffic was congestion-free for several hours.
359,Marvel is going to start advertising on The Hulk. He's basically a giant Banner.
360,What did the drummer call his twin daughters? Anna one, Anna two.
361,How did Darth Vader know what Luke got him for Christmas? He felt his presents.
362,Did you hear about the chameleon who couldn't change color? He had a reptile dysfunction.
363,I wanted to go on a diet, but I feel like I have way too much on my plate right now.
364,Want to hear a joke about construction? I'm still working on it.
365,What’s Forrest Gump’s password? 1forrest1
366,What sound does a witches car make? Broom Broom
367,To whoever stole my copy of Microsoft Office, I will find you. You have my Word.
368,What does a zombie vegetarian eat? “GRRRAAAIINS!”
369,This graveyard looks overcrowded. People must be dying to get in there.
370,What does a nosey pepper do? It gets jalapeno business.
371,I tell dad jokes, but I don't have any kids. I'm a faux pa.
372,Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, "No, just leave it in the carton."
373,Two goldfish are in a tank. One says to the other, "do you know how to drive this thing?"
374,What’s that Nevada city where all the dentists visit? Floss Vegas.
375,Atheism is a non-prophet organization.
376,You’re American when you go into the bathroom, and you’re American when you come out, but do you know what you are while you’re in there? European.
377,Why did the picture go to jail? Because it was framed.
378,What do you call a bear without any teeth? A gummy bear.
379,What do you call a hippie's wife? Mississippi.
380,The shovel was a ground-breaking invention.
381,Dad, can you put the cat out? I didn't know it was on fire.
382,How do you make holy water? You boil the hell out of it.
383,5/4 of people admit that they’re bad with fractions.
384,What do you call a man with a rubber toe? Roberto.
385,I would avoid the sushi if I was you. It’s a little fishy.
386,To the man in the wheelchair that stole my camouflage jacket... You can hide but you can't run.
387,What do you call a fish with two knees? A two-knee fish.
388,I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day.
389,The rotation of earth really makes my day.
390,I thought about going on an all-almond diet. But that's just nuts.
391,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
392,I’ve never gone to a gun range before. I decided to give it a shot.
393,I took a blind friend to the gun range for his first time. He didnt know what he was missing
394,What's black and white and goes around and around? A penguin in a revolving door.
395,Why do you never see elephants hiding in trees? Because they're so good at it.
396,My son screeched, "Daaaaaad, you haven't listened to one word I've said, have you!?" What a strange way to start a conversation...
397,Did you hear about the kidnapping at school? It's fine, he woke up.
398,What did the caretaker say when they jumped out of the store cupboard? “Supplies!”
399,If a child refuses to sleep during nap time, are they guilty of resisting a rest?
400,A furniture store keeps calling me. All I wanted was one night stand.
401,I used to work in a shoe recycling shop. It was sole destroying.
402,Did I tell you the time I fell in love during a backflip? I was heels over head.
403,My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right.
404,Did you hear about the restaurant on the moon? Great food, no atmosphere.
405,What do you call a fake noodle? An Impasta.
406,My friend keeps saying "cheer up man it could be worse, you could be stuck underground in a hole full of water." I know he means well.
407,What time did the man go to the dentist? Tooth hurt-y.
408,I just watched a program about beavers. It was the best dam program I've ever seen.
409,Why did the coffee file a police report? It got mugged.
410,I ordered a chicken and an egg from Amazon. I’ll let you know.
411,How does a penguin build it's house? Igloos it together.
412,What did the fried rice say to the shrimp? Don't wok away from me. 
413,Dad, did you get a haircut? No, I got them all cut.
414,The secret service isn't allowed to yell "Get down!" anymore when the president is about to be attacked. Now they have to yell "Donald Duck!"
415,Two cannibals are eating a clown. One says to the other: “Does this taste funny to you?”
416,Why did the scarecrow win an award? Because he was outstanding in his field.
417,What do you call a man who can’t stand? Neil.
418,I’m thinking about removing my spine. I feel like it’s only holding me back.
419,Why don't skeletons ever go trick or treating? Because they have no body to go with.
420,How do you make a tissue dance? You put a little boogie in it.
421,What do you call an elephant that doesn't matter? An irrelephant.
422,What do you call cheese that isn't yours? Nacho Cheese.
423,Why couldn't the bicycle stand up by itself? It was two tired.
424,I'm reading a book about anti-gravity. It's impossible to put down
425,What did the grape do when he got stepped on? He let out a little wine.
426,I wouldn't buy anything with velcro. It's a total rip-off.
427,Why are cats bad storytellers? Because they only have one tale.
428,Why was the belt sent to jail? For holding up a pair of pants.
429,What do you call a baby monkey? A chimp off the old block.
430,What’s an astronaut’s favorite part of a computer? The space bar.
431,Do you think glass coffins will be a success? Remains to be seen.
432,What lies at the bottom of the ocean and twitches? A nervous wreck.
433,What happens when a frog's car dies? He needs a jump. If that doesn't work he has to get it toad.
434,Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
435,I’m reading a book on the history of glue. I just can’t seem to put it down.
436,How deep is a frog pond? Knee-deep.
